gene score locus
TRPC4 0.0 8
NHLRC3 0.0 8
POSTN 0.0 8
RFC3 0.39199673336055535 8
N4BP2L1 0.0 8
STARD13 0.016490228013029316 8
FAM216B 0.0 8
DCLK1 0.3992644053943604 8
MTRF1 0.12375127420998981 8
LHFP 0.0 8
ELF1 0.017740619902120718 8
KL 0.0 8
CSNK1A1L 0.01842374616171955 8
SOHLH2 0.0 8
DGKH 0.0 8
NAA16 0.04256189891549007 8
NBEA 0.0 8
SMAD9 0.06422018348623854 8
FAM48A 0.021228822208614002 8
STOML3 0.011642156862745098 8
SPG20 0.01063394683026585 8
CCDC169-SOHLH2 0.0 8
SLC25A15 0.0 8
RFXAP 0.0 8
SERTM1 0.0 8
COG6 0.09973539588845919 8
RGCC 0.0 8
RP11-298P3.4 0.14402284781721747 8
SPG20OS 0.0 8
KBTBD6 0.0 8
SUGT1P3 0.07872730981032021 8
ALG5 0.09483109483109484 8
AL133318.1 0.0 8
WBP4 0.06452930365529916 8
CCNA1 0.3516326530612245 8
ERCC4 0.5415192507804371 9
GPR139 0.0 9
C16orf88 0.0 9
RPS15A 0.20751633986928106 9
BFAR 0.0 9
CTD-2349B8.1 0.0 9
NDE1 0.07616908311210946 9
PLA2G10 0.0 9
RP11-1212A22.2 0.021850112313661425 9
SYT17 0.0 9
GPRC5B 0.0 9
FOPNL 0.0 9
ITPRIPL2 0.0 9
PDXDC1 0.0 9
UMOD 0.0 9
GDE1 0.09442409442409443 9
RP11-467M13.1 0.021194212349704505 9
COQ7 0.0 9
RP11-719K4.1 0.021623827009383926 9
TMC7 0.0 9
C16orf62 0.02371703128194643 9
KIAA0430 0.017586912065439674 9
SMG1 0.4375767498976668 9
NOMO2 0.021228822208614002 9
NTAN1 0.023517382413087935 9
ARL6IP1 0.03967280163599182 9
PARN 0.03314238952536825 9
CLEC19A 0.0 9
RRN3 0.035619242579324466 9
XYLT1 0.0 9
IQCK 0.0 9
NOMO1 0.021007546400163165 9
ABCC1 0.12652563059397884 9
C16orf45 0.0 9
CCP110 0.0 9
NPIP 0.02185457516339869 9
TMC5 0.0 9
RP11-1035H13.3 0.012421095499898187 9
MKL2 0.0 9
RP11-719K4.2 0.02148997134670487 9
GP2 0.0 9
NPIPP1 0.0 9
PDILT 0.12512757705654215 9
AC092291.2 0.0 9
SHISA9 0.0 9
MYH11 0.37436315467699205 9
NOMO3 0.02144169899938738 9
ABCC6 0.08387755102040817 9
FANCI 0.040701314965560426 10
POLG 0.011868221812973194 10
AC016251.1 0.0 10
GABARAPL3 0.08333333333333333 10
FES 0.03887865766318805 10
C15orf38 0.0 10
VPS33B 0.1315090871962426 10
NR2F2 0.07861956299775373 10
SLCO3A1 0.0 10
IQGAP1 0.19820919820919822 10
FAM174B 0.0 10
C15orf32 0.0 10
CRTC3 0.0 10
HDDC3 0.049755301794453505 10
MESP2 0.0 10
GDPGP1 0.0 10
ANPEP 0.0 10
MCTP2 0.0 10
MAN2A2 0.0 10
TTLL13 0.0617988986334897 10
SPATA8 0.0 10
BLM 0.46688404320358673 10
ST8SIA2 0.0 10
TICRR 0.0 10
C15orf38-AP3S2 0.0 10
UNC45A 0.09971393543114017 10
RCCD1 0.06030456852791878 10
NGRN 0.0 10
SEMA4B 0.0 10
CIB1 0.3527369281045752 10
AC112693.2 0.0 10
SV2B 0.029327902240325866 10
ARRDC4 0.03958375841664966 10
RGMA 0.0 10
PRC1 0.16581684682847236 10
MESP1 0.0 10
KIF7 0.1383173762477083 10
CHD2 0.3058895455471775 10
IDH2 0.061771323379014115 10
PLIN1 0.0 10
RP11-697E2.6 0.06252554147936248 10
PEX11A 0.0567694506840923 10
WDR93 0.0 10
RHCG 0.0 10
ZNF710 0.13729883886738645 10
ZNF774 0.1357318070318888 10
RP11-82I10.1 0.0 10
FURIN 0.3261136085002043 10
AC087477.1 0.0 10
AP3S2 0.049856967715570084 10
SLX4 0.17700767794148164 11
FAM86A 0.0 11
USP7 0.14247697031729786 11
ROGDI 0.0 11
ALG1 0.06982899022801303 11
CDIP1 0.0 11
UBN1 0.0 11
RP11-297M9.1 0.0 11
SEPT12 0.09779501837484687 11
CORO7 0.0 11
NUDT16L1 0.0 11
C16orf71 0.0 11
PAM16 0.05683909221018197 11
TMEM186 0.0 11
TRAP1 0.48663538053458477 11
METTL22 0.021185577510694643 11
SRL 0.058260338154410264 11
RBFOX1 0.0 11
VASN 0.10748521313481542 11
GLYR1 0.019230769230769232 11
CARHSP1 0.012033448908831328 11
GRIN2A 0.012018741087797923 11
C16orf89 0.0 11
ATF7IP2 0.0 11
NAGPA 0.02102469891814656 11
DNASE1 0.0 11
FAM100A 0.0 11
TEKT5 0.0 11
SEC14L5 0.15151515151515152 11
AC012676.1 0.0 11
PMM2 0.06289565039820298 11
GLIS2 0.17920489296636086 11
C16orf96 0.0 11
ZNF500 0.17954453029686865 11
C16orf72 0.0 11
CORO7-PAM16 0.0 11
DNAJA3 0.11733550621307802 11
CREBBP 0.26435137895812055 11
NMRAL1 0.0 11
ADCY9 0.05290032679738562 11
NLRC3 0.0 11
HMOX2 0.034426563454878795 11
MGRN1 0.11480424143556281 11
EMP2 0.0 11
RP11-127I20.4 0.0 11
ABAT 0.03872808805544232 11
PPL 0.0 11
TMEM114 0.0 11
TFAP4 0.040908161178155045 11
ANKS3 0.1006519967400163 11
